111 26 10	04 12	1015165	1011725	1011560	1013695
26 10 2020	10 25	101565	101725	101560	101695
26 10 2020	10 30	101690	101820	101645	101710
26 10 2020	10 35	101715	101790	101630	101695
26 10 2020	10 40	101695	101735	101575	101720
26 10 2020	10 45	101715	101795	101635	101740
26 10 2020	10 50	101735	101835	101695	101785
26 10 2020	10 55	101780	101850	101745	101820
26 10 2020	11 00	101825	101920	101785	101905
26 10 2020	11 05	101905	101945	101765	101820
26 10 2020	11 10	101815	101880	101770	101870
26 10 2020	11 15	101870	101925	101845	101885
26 10 2020	11 20	101885	101970	101880	101890
26 10 2020	11 25	101890	101910	101785	101800
26 10 2020	11 30	101805	101845	101690	101810
26 10 2020	11 35	101810	101825	101730	101805
26 10 2020	11 40	101805	101900	101795	101875
26 10 2020	11 45	101875	101930	101765	101840
26 10 2020	11 50	101840	101840	101740	101820
26 10 2020	11 55	101825	101830	101660	101665
26 10 2020	12 00	101665	101675	101520	101535
26 10 2020	12 05	101535	101555	101335	101430
26 10 2020	12 10	101430	101505	101395	101425
26 10 2020	12 15	101425	101435	101215	101305
26 10 2020	12 20	101305	101410	101255	101380
26 10 2020	12 25	101385	101470	101355	101425
26 10 2020	12 30	101420	101435	101350	101380
26 10 2020	12 35	101380	101480	101375	101430
26 10 2020	12 40	101430	101455	101380	101435
26 10 2020	12 45	101435	101470	101375	101380
26 10 2020	12 50	101385	101705	101360	101665
26 10 2020	12 55	101665	101715	101600	101645
26 10 2020	13 00	101645	101715	101605	101655
26 10 2020	13 05	101650	101675	101575	101640
26 10 2020	13 10	101645	101685	101475	101505
26 10 2020	13 15	101505	101560	101495	101535
26 10 2020	13 20	101535	101545	101435	101460
26 10 2020	13 25	101455	101510	101350	101370
26 10 2020	13 30	101370	101375	101135	101160
26 10 2020	13 35	101160	101165	100635	100695
26 10 2020	13 40	100700	100735	100525	100610
26 10 2020	13 45	100610	100700	100550	100690
26 10 2020	13 50	100690	100765	100660	100730
26 10 2020	13 55	100735	100735	100465	100635
26 10 2020	14 00	100640	100690	100615	100660
26 10 2020	14 05	100655	100675	100565	100670
26 10 2020	14 10	100670	100695	100615	100645
26 10 2020	14 15	100650	100650	100500	100535
26 10 2020	14 20	100530	100605	100370	100395
26 10 2020	14 25	100395	100420	100195	100230
26 10 2020	14 30	100230	100265	99940	100110
26 10 2020	14 35	100110	100260	100075	100245
26 10 2020	14 40	100245	100270	100140	100205
26 10 2020	14 45	100210	100365	100170	100335
26 10 2020	14 50	100335	100500	100310	100410
26 10 2020	14 55	100415	100615	100340	100605
26 10 2020	15 00	100605	100735	100565	100710
26 10 2020	15 05	100710	100865	100675	100730
26 10 2020	15 10	100725	100785	100590	100700
26 10 2020	15 15	100700	100720	100605	100645
26 10 2020	15 20	100645	100800	100585	100755
26 10 2020	15 25	100755	100880	100720	100800
26 10 2020	15 30	100805	100880	100770	100780
26 10 2020	15 35	100780	100795	100690	100750
26 10 2020	15 40	100750	100850	100700	100745
26 10 2020	15 45	100745	100770	100655	100705
26 10 2020	15 50	100700	100825	100695	100740
26 10 2020	15 55	100735	100845	100705	100780
26 10 2020	16 00	100780	100850	100725	100730
26 10 2020	16 05	100730	100760	100650	100715
26 10 2020	16 10	100715	100790	100680	100720
26 10 2020	16 15	100725	100965	100720	100880
26 10 2020	16 20	100885	101005	100880	100945
26 10 2020	16 25	100945	101005	100900	100965
26 10 2020	16 30	100965	101150	100930	101075
26 10 2020	16 35	101080	101125	100990	101015
26 10 2020	16 40	101010	101090	100995	101035
26 10 2020	16 45	101035	101050	100905	100965
26 10 2020	16 50	100965	101055	100950	101035
26 10 2020	16 55	101035	101255	101025	101255
26 10 2020	17 00	101255	101300	101190	101215
26 10 2020	17 05	101215	101245	101150	101190
26 10 2020	17 10	101190	101280	101175	101235
26 10 2020	17 15	101235	101255	101205	101240
26 10 2020	17 20	101240	101265	101220	101245
26 10 2020	17 25	101245	101255	101205	101230
26 10 2020	17 30	101230	101240	101185	101200
26 10 2020	17 35	101195	101275	101180	101230
26 10 2020	17 40	101230	101240	101195	101220
26 10 2020	17 45	101225	101250	101205	101240
26 10 2020	17 50	101240	101350	101230	101325
26 10 2020	18 00	101355	101355	101355	101355
27 10 2020	9 00	101890	101940	101735	101780
27 10 2020	9 05	101775	101825	101750	101750
27 10 2020	9 10	101750	101795	101660	101715
27 10 2020	9 15	101715	101770	101685	101745
27 10 2020	9 20	101750	101785	101740	101775
27 10 2020	9 25	101775	101800	101750	101780
27 10 2020	9 30	101780	101825	101750	101765
27 10 2020	9 35	101765	101850	101755	101765
27 10 2020	9 40	101760	101790	101635	101675
27 10 2020	9 45	101675	101680	101540	101580
27 10 2020	9 50	101580	101615	101480	101485
27 10 2020	9 55	101490	101590	101460	101550
27 10 2020	10 00	101555	101565	101340	101350
27 10 2020	10 05	101350	101585	101350	101555
27 10 2020	10 10	101555	101845	101520	101585
27 10 2020	10 15	101590	101650	101330	101410
27 10 2020	10 20	101415	101445	101275	101385
27 10 2020	10 25	101380	101410	101295	101305
27 10 2020	10 30	101305	101345	100960	101010
27 10 2020	10 35	101010	101275	100960	101080
27 10 2020	10 40	101085	101125	100945	101025
27 10 2020	10 45	101020	101095	100920	100980
27 10 2020	10 50	100980	101140	100935	101135
27 10 2020	10 55	101130	101180	101055	101105
27 10 2020	11 00	101100	101140	101035	101040
27 10 2020	11 05	101040	101160	100980	101100
27 10 2020	11 10	101095	101145	101000	101055
27 10 2020	11 15	101055	101110	100650	100710
27 10 2020	11 20	100710	100850	100665	100820
27 10 2020	11 25	100825	100835	100655	100815
27 10 2020	11 30	100815	100910	100755	100875
27 10 2020	11 35	100880	100890	100775	100855
27 10 2020	11 40	100850	100895	100810	100850
27 10 2020	11 45	100855	101045	100835	100945
27 10 2020	11 50	100940	101000	100860	100920
27 10 2020	11 55	100920	100990	100870	100875
27 10 2020	12 00	100880	100940	100800	100935
27 10 2020	12 05	100935	100950	100730	100825
27 10 2020	12 10	100830	100880	100780	100790
27 10 2020	12 15	100795	100845	100720	100840
27 10 2020	12 20	100840	100870	100760	100760
27 10 2020	12 25	100760	100785	100580	100655
27 10 2020	12 30	100660	100710	100525	100700
27 10 2020	12 35	100705	100815	100680	100755
27 10 2020	12 40	100755	100795	100560	100630
27 10 2020	12 45	100635	100770	100615	100665
27 10 2020	12 50	100665	100760	100650	100750
27 10 2020	12 55	100750	100780	100635	100650
27 10 2020	13 00	100650	100665	100270	100295
27 10 2020	13 05	100300	100470	100265	100440
27 10 2020	13 10	100435	100500	100395	100415
27 10 2020	13 15	100415	100430	100315	100370
27 10 2020	13 20	100365	100410	100310	100355
27 10 2020	13 25	100355	100375	100330	100345
27 10 2020	13 30	100345	100365	100220	100275
27 10 2020	13 35	100275	100300	100190	100275
27 10 2020	13 40	100275	100370	100215	100260
27 10 2020	13 45	100265	100390	100250	100305
27 10 2020	13 50	100310	100340	100240	100320
27 10 2020	13 55	100325	100380	100285	100335
27 10 2020	14 00	100335	100345	100175	100265
27 10 2020	14 05	100260	100280	100200	100205
27 10 2020	14 10	100210	100250	100150	100200
27 10 2020	14 15	100200	100325	100175	100305
27 10 2020	14 20	100305	100350	100285	100345
27 10 2020	14 25	100340	100465	100270	100435
27 10 2020	14 30	100430	100515	100345	100365
27 10 2020	14 35	100370	100380	100290	100345
27 10 2020	14 40	100345	100375	100315	100360
27 10 2020	14 45	100365	100425	100325	100370
27 10 2020	14 50	100375	100400	100335	100355
27 10 2020	14 55	100355	100365	100170	100300
27 10 2020	15 00	100300	100340	100260	100325
27 10 2020	15 05	100320	100350	100215	100230
27 10 2020	15 10	100230	100255	100200	100225
27 10 2020	15 15	100220	100225	99980	100100
27 10 2020	15 20	100100	100170	100030	100035
27 10 2020	15 25	100030	100105	100010	100055
27 10 2020	15 30	100055	100095	100000	100020
27 10 2020	15 35	100025	100025	99835	99925
27 10 2020	15 40	99925	99950	99720	99815
27 10 2020	15 45	99820	99860	99635	99685
27 10 2020	15 50	99685	99705	99500	99655
27 10 2020	15 55	99655	99690	99550	99595
27 10 2020	16 00	99595	99755	99590	99665
27 10 2020	16 05	99670	99700	99635	99665
27 10 2020	16 10	99665	99775	99660	99715
27 10 2020	16 15	99715	99750	99690	99710
27 10 2020	16 20	99715	99780	99675	99745
27 10 2020	16 25	99745	99760	99690	99710
27 10 2020	16 30	99705	99720	99655	99695
27 10 2020	16 35	99700	99785	99680	99765
27 10 2020	16 40	99760	99775	99650	99665
27 10 2020	16 45	99670	99730	99630	99695
27 10 2020	16 50	99700	99705	99530	99695
27 10 2020	16 55	99695	99725	99600	99635
27 10 2020	17 00	99635	99690	99620	99675
27 10 2020	17 05	99675	99690	99655	99685
27 10 2020	17 10	99680	99690	99565	99620
27 10 2020	17 15	99620	99620	99445	99515
27 10 2020	17 20	99520	99595	99485	99545
27 10 2020	17 25	99540	99625	99535	99620
27 10 2020	17 30	99615	99655	99545	99600
27 10 2020	17 35	99600	99605	99500	99570
27 10 2020	17 40	99575	99585	99335	99365
27 10 2020	17 45	99365	99410	99235	99270
27 10 2020	17 50	99275	99325	98770	98945
27 10 2020	18 00	98850	98850	98850	98850
28 10 2020	9 00	98300	98375	98160	98270
28 10 2020	9 05	98275	98350	98145	98200
28 10 2020	9 10	98205	98230	97860	97865
28 10 2020	9 15	97865	98000	97785	97855
28 10 2020	9 20	97850	97865	97525	97565
28 10 2020	9 25	97565	97710	97425	97625
28 10 2020	9 30	97630	97790	97600	97640
